Nome,Clube,Sigla,Nome,Posicao,Ult,Media,Jogos,Lixo1,Lixo2,Lixo3,Preco,Valorizacao,
Bruno,São Paulo,SAO,Bruno,Lateral,0.00,0.00,-,São Paulo,x,Internacional, 9.00,0.00,
Thiago Mendes,São Paulo,SAO,Thiago Mendes,Meia,-3.10,-3.10,1,São Paulo,x,Internacional, 8.02,5.98,
Diego,Botafogo,BOT,Diego,Lateral,0.00,0.00,-,Sport,x,Botafogo, 3.00,0.00,
Maicon,São Paulo,SAO,Maicon,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 7.00,0.00,
Alan Kardec,São Paulo,SAO,Alan Kardec,Atacante,-0.10,-0.10,1,São Paulo,x,Internacional, 5.81,2.19,
Lizio,Botafogo,BOT,Lizio,Meia,0.00,0.00,-,Sport,x,Botafogo, 3.00,0.00,
Saulo,Botafogo,BOT,Saulo,Goleiro,0.00,0.00,-,Sport,x,Botafogo, 2.00,0.00,
Jean,Botafogo,BOT,Jean,Lateral,0.00,0.00,-,Sport,x,Botafogo, 2.00,0.00,
Matheus Cabral,Botafogo,BOT,Matheus Cabral,Goleiro,0.00,0.00,-,Sport,x,Botafogo, 1.00,0.00,
Igor Rabello,Botafogo,BOT,Igor Rabello,Zagueiro,0.00,0.00,-,Sport,x,Botafogo, 1.00,0.00,
Lucas Zen,Botafogo,BOT,Lucas Zen,Meia,0.00,0.00,-,Sport,x,Botafogo, 2.00,0.00,
Hudson,São Paulo,SAO,Hudson,Meia,0.00,0.00,-,São Paulo,x,Internacional, 7.00,0.00,
Octávio,Botafogo,BOT,Octávio,Meia,0.00,0.00,-,Sport,x,Botafogo, 2.00,0.00,
Carlinhos,São Paulo,SAO,Carlinhos,Lateral,0.00,0.00,-,São Paulo,x,Internacional, 5.00,0.00,
Denis,São Paulo,SAO,Denis,Goleiro,0.00,0.00,-,São Paulo,x,Internacional, 6.00,0.00,
Renan Ribeiro,São Paulo,SAO,Renan Ribeiro,Goleiro,10.70,10.70,1,São Paulo,x,Internacional, 11.54,6.54,
Wesley,São Paulo,SAO,Wesley,Meia,0.00,0.00,-,São Paulo,x,Internacional, 5.00,0.00,
Breno,São Paulo,SAO,Breno,Zagueiro,0.00,0.00,-,São Paulo,x,Internacional, 5.00,0.00,
Marcinho,Botafogo,BOT,Marcinho,Lateral,0.00,0.00,-,Sport,x,Botafogo, 1.00,0.00,
Matheus Fernandes,Botafogo,BOT,Matheus Fernandes,Meia,0.00,0.00,-,Sport,x,Botafogo, 1.00,0.00,
Anderson Aquino,Botafogo,BOT,Anderson Aquino,Atacante,0.70,0.70,1,Sport,x,Botafogo, 3.46,0.54,
Ricardo Gomes,Botafogo,BOT,Ricardo Gomes,Técnico,1.52,1.52,1,Sport,x,Botafogo, 4.79,0.21,
